time,alt,pos_x_est,pos_y_est,vel_x_cmd,vel_y_cmd,target_visible
9.543363809585571,5.014000415802002,-97.9891709356407,-93.62323075471348,0.11029675845329097,-0.12148580115180804,1
9.553715705871582,5.038000106811523,-97.88060581473854,-93.24649434912035,0.10976514407485166,-0.12174249772287898,1
9.563159227371216,5.038000106811523,-97.89304802307731,-93.2334868791415,0.11030893603215189,-0.12234478666102397,1
9.573683738708496,5.054000377655029,-97.90549023141608,-93.23522438995035,0.11087043239146221,-0.12294715025241898,1
9.583590030670166,5.054000377655029,-97.91793243975485,-93.22221691997149,0.11141415672900741,-0.12354958849706404,1
9.593039512634277,5.077000141143799,-97.93037464809362,-93.23023666868778,0.1119831618474791,-0.12415210139495912,1
9.603525638580322,5.077000141143799,-97.94281685643239,-93.21722919870892,0.11252685625869671,-0.12475468894610424,1
9.614142417907715,5.090000152587891,-97.95525906477116,-93.21602002403077,0.11308470136922712,-0.1253573511504994,1
9.623668670654297,5.090000152587891,-97.96770127310992,-93.20301255405191,0.11362831048057678,-0.12596008800814457,1
9.633060693740845,5.107000350952148,-97.85512401428387,-92.8609800587772,0.11321050287306582,-0.12620717259950542,1
9.643670082092285,5.107000350952148,-97.8667464088541,-92.8457144508242,0.11374925843022718,-0.12680831995144282,1
9.65312385559082,5.116000175476074,-97.87836880342432,-92.83852460407024,0.11429766176174684,-0.12740953703774763,1
9.663674116134644,5.116000175476074,-97.88999119799455,-92.82325899611725,0.11483628258617995,-0.12801082385841986,1
9.673224925994873,5.12600040435791,-97.90161359256477,-92.81693250383998,0.11538559239047026,-0.1286121804134595,1
9.684053659439087,5.12600040435791,-97.913235987135,-92.80166689588698,0.11592408366230199,-0.1292136067028666,1
9.693556785583496,5.130000114440918,-97.92485838170522,-92.78996652197355,0.11646678301273773,-0.1298151027266411,1
9.704062461853027,5.130000114440918,-97.93648077627545,-92.77470091402056,0.11700511248867825,-0.13041666848478303,1
9.713889360427856,5.133000373840332,-98.22507818040818,-92.73509182986089,0.11746990543841228,-0.131804356495887,1
9.723323345184326,5.133000373840332,-98.23850865760666,-92.71964987510688,0.11800769299195811,-0.13240990412047082,1
9.733326435089111,5.133000373840332,-98.25193913480514,-92.70420792035287,0.11854538789377542,-0.13301553232791782,1
9.743305444717407,5.133000373840332,-98.26536961200362,-92.68876596559886,0.11908299014386418,-0.13362124111822804,1
9.754747152328491,5.129000186920166,-98.62951072591362,-92.7835628445004,0.11993885030197378,-0.13522136299698556,1
