time,alt,pos_x_est,pos_y_est,vel_x_cmd,vel_y_cmd,target_visible,setpoint_x,raw_x,filtered_x,cmd_y
9.044198274612427,4.521000385284424,-104.74683564904329,-98.77945075620488,0.14271524043146933,-0.1621304654425861,1,320.0,225.0,215.2531643509567,-0.1621304654425861
9.054120779037476,4.5360002517700195,-104.86653741066159,-98.8756961522118,0.1433251133874387,-0.16279844024358137,1,320.0,,215.13346258933842,-0.16279844024358137
9.063657760620117,4.5360002517700195,-104.9862391722799,-98.95464949311261,0.14391463064398524,-0.16346701355338475,1,320.0,,215.0137608277201,-0.16346701355338475
9.073863506317139,4.560000419616699,-105.1059409338982,-99.06102532507491,0.1445375867689654,-0.1641361853719962,1,320.0,,214.89405906610182,-0.1641361853719962
9.083429336547852,4.560000419616699,-105.2256426955165,-99.13997866597572,0.14512803067137622,-0.16480595569941575,1,320.0,,214.7743573044835,-0.16480595569941575
9.093071937561035,4.574000358581543,-105.3453444571348,-99.23479056656433,0.14573797890491538,-0.16547632453564337,1,320.0,,214.6546555428652,-0.16547632453564337
9.103580474853516,4.574000358581543,-105.4650462187531,-99.31374390746514,0.14632929163353367,-0.1661472918806791,1,320.0,,214.53495378124688,-0.1661472918806791
9.113003969192505,4.593000411987305,-105.5847479803714,-99.41405951673654,0.14694674066224303,-0.16681885773452293,1,320.0,,214.4152520196286,-0.16681885773452293
9.124287366867065,4.593000411987305,-105.7044497419897,-99.49301285763735,0.14753894973561218,-0.16749102209717484,1,320.0,,214.29555025801028,-0.16749102209717484
9.134306907653809,4.604000091552734,-105.82415150360801,-99.58424994612496,0.14814635549152796,-0.16816378496863485,1,320.0,,214.175848496392,-0.16816378496863485
9.143747091293335,4.604000091552734,-105.94385326522631,-99.66320328702577,0.14873941551704406,-0.16883714634890293,1,320.0,,214.05614673477368,-0.16883714634890293
9.154175281524658,4.615000247955322,-106.06355502684461,-99.75438024535913,0.1493475997682709,-0.1695111062379791,1,320.0,,213.9364449731554,-0.1695111062379791
9.163686990737915,4.615000247955322,-106.18325678846291,-99.83333358625994,0.14994151044528314,-0.17018566463586338,1,320.0,224.0,213.81674321153707,-0.17018566463586338
9.172971487045288,4.62000036239624,-104.91130173755036,-98.9924070995289,0.14756419257858577,-0.16638201058881108,1,320.0,224.0,215.08869826244964,-0.16638201058881108
9.18348741531372,4.62000036239624,-105.02166395085317,-99.06514988003599,0.14814680966459445,-0.16703955356452874,1,320.0,224.0,214.97833604914683,-0.16703955356452874
9.19393515586853,4.625,-105.13202616415597,-99.14341603960722,0.14873644613627796,-0.16769764835131287,1,320.0,224.0,214.86797383584403,-0.16769764835131287
9.203721523284912,4.625,-105.24238837745878,-99.2161588201143,0.14931981826698704,-0.16835629494916354,1,320.0,223.0,214.75761162254122,-0.16835629494916354
9.213099718093872,4.625,-104.27831051643935,-98.61843533611744,0.14775230861627842,-0.16556806506489524,1,320.0,223.0,215.72168948356065,-0.16556806506489524
9.223520278930664,4.625,-104.38149696973007,-98.68670033780255,0.14832766011998955,-0.16621379629369276,1,320.0,223.0,215.61850303026995,-0.16621379629369276
9.232982397079468,4.622000217437744,-104.48468342302078,-98.75165279738627,0.14889936133547696,-0.16686004345475672,1,320.0,223.0,215.51531657697922,-0.16686004345475672
9.244287729263306,4.622000217437744,-104.5878698763115,-98.81991779907138,0.14947537892649443,-0.16750680654808714,1,320.0,223.0,215.41213012368848,-0.16750680654808714
